Code,Name,Category,Punishments,Applicable when
121,Waging or attempting to wage war against Pakistan,Criminal Laws,Death or life imprisonment & fine,Planning an attack against the state like bombing a government building
122,Collecting arms to wage war,Criminal Laws,Life imprisonment,Gathering weapons to overthrow the government
123,Concealing design to wage war,Criminal Laws,Imprisonment up to 10 years & fine,Hiding plans to attack Pakistan
124,Sedition,Criminal Laws,Life imprisonment or up to 3 years & fine,Inciting hatred against the government via speech
124A,Sedition (amended),Criminal Laws,Life imprisonment or up to 3 years & fine,Publishing anti-state material
131,Abetting mutiny,Criminal Laws,Death or life imprisonment & fine,Encouraging soldiers to rebel
132,Abetment of mutiny if committed,Criminal Laws,Death or life imprisonment & fine,Successfully causing a military revolt
140,Wearing soldiers garb,Criminal Laws,Imprisonment up to 3 months &/or fine,Pretending to be a soldier to deceive
141,Unlawful assembly,Criminal Laws,Definition only,Group of 5+ with common illegal intent
142,Being member of unlawful assembly,Criminal Laws,Imprisonment up to 6 months &/or fine,Joining a group of 5+ to vandalize property
143,Punishment for unlawful assembly,Criminal Laws,Imprisonment up to 6 months &/or fine,Participating in an illegal protest
144,Joining unlawful assembly armed,Criminal Laws,Imprisonment up to 2 years &/or fine,Carrying a gun in an illegal gathering
145,Joining or continuing in unlawful assembly,Criminal Laws,Imprisonment up to 6 months &/or fine,Staying in a banned rally
146,Rioting,Criminal Laws,Definition only,Unlawful assembly using force
147,Punishment for rioting,Criminal Laws,Imprisonment up to 2 years &/or fine,Fighting in a group to disturb peace
148,Rioting armed with deadly weapon,Criminal Laws,Imprisonment up to 3 years &/or fine,Using a knife during a riot
149,Every member of unlawful assembly guilty,Criminal Laws,Same as offense committed,Participating in a crime by the group
150,Hiring persons to join unlawful assembly,Criminal Laws,Imprisonment up to 6 months &/or fine,Paying thugs to join a riot
151,Knowingly joining assembly after dispersal order,Criminal Laws,Imprisonment up to 6 months &/or fine,Staying after police order to leave
152,Assaulting public servant suppressing riot,Criminal Laws,Imprisonment up to 3 years &/or fine,Hitting a police officer stopping a riot
153,Promoting enmity between classes,Criminal Laws,Imprisonment up to 3 years &/or fine,Spreading hate between religious groups
153A,Promoting enmity (amended),Criminal Laws,Imprisonment up to 5 years & fine,Inciting sectarian violence
